,Date,City,Country,Latitude,Longitude,Cloudiness,Maximum Temperature,Pressure,Humidity,Wind Speed
0,1/1/1970,Ternate,ID,0.8,127.4,98,81.1,1007,80,5.82
1,1/1/1970,Cristalina,BR,-16.7686,-47.6136,86,72.97,1008,53,2.59
2,1/1/1970,Dingle,PH,10.9995,122.6711,93,77.13,1008,92,6.49
3,1/1/1970,Sitka,US,57.0531,-135.33,75,44.49,1007,70,8.05
4,1/1/1970,Hay River,CA,60.8156,-115.7999,75,30.18,1005,93,2.3
5,1/1/1970,Mataura,NZ,-46.1927,168.8643,57,67.05,1016,49,1.23
6,1/1/1970,Dikson,RU,73.5069,80.5464,100,17.28,982,95,5.28
7,1/1/1970,Port Alfred,ZA,-33.5906,26.891,100,63.61,1016,86,5.93
8,1/1/1970,New Norfolk,AU,-42.7826,147.0587,50,55.92,1008,59,1.01
9,1/1/1970,Ténenkou,ML,14.4572,-4.9169,27,89.11,1009,19,6.76
10,1/1/1970,Clyde River,CA,70.4692,-68.5914,75,17.83,1018,86,6.91
11,1/1/1970,Qaqortoq,GL,60.7167,-46.0333,100,28.9,1012,77,8.9
12,1/1/1970,Estación Coahuila,MX,32.1939,-115.0017,0,90.97,1011,23,12.53
13,1/1/1970,Ushuaia,AR,-54.8,-68.3,90,44.26,1005,87,4.61
14,1/1/1970,Rikitea,PF,-23.1203,-134.9692,100,75.67,1017,81,16.22
15,1/1/1970,Provideniya,RU,64.3833,-173.3,66,12.76,1014,89,4.12
16,1/1/1970,Biltine,TD,14.5333,20.9167,0,81.79,1009,16,8.32
17,1/1/1970,Barrow,US,71.2906,-156.7887,1,10.42,1004,85,11.5
18,1/1/1970,Tasiilaq,GL,65.6145,-37.6368,76,24.96,1016,81,6.67
19,1/1/1970,East London,ZA,-33.0153,27.9116,100,64.36,1016,89,5.55
20,1/1/1970,Jamestown,US,42.097,-79.2353,1,49.32,1023,39,5.75
21,1/1/1970,Truth or Consequences,US,33.1284,-107.2528,1,79.16,1021,17,9.22
22,1/1/1970,Vaini,TO,-21.2,-175.2,40,82.56,1014,83,8.05
23,1/1/1970,Nikolskoye,RU,59.7035,30.7861,79,40.87,1002,83,9.19
24,1/1/1970,Thompson,CA,55.7435,-97.8558,90,30.36,1004,93,2.3
25,1/1/1970,Mahébourg,MU,-20.4081,57.7,40,75.49,1015,83,4.61
26,1/1/1970,Jumla,NP,29.2747,82.1838,81,41.36,1017,40,4.76
27,1/1/1970,Hasaki,JP,35.7333,140.8333,100,52.29,1024,69,7.7
28,1/1/1970,Cayenne,GF,4.9333,-52.3333,90,82.44,1010,85,4
29,1/1/1970,Kyrylivka,UA,46.3759,35.3675,80,51.67,1025,72,12.97
30,1/1/1970,Yellowknife,CA,62.456,-114.3525,75,32.41,1007,91,10.36
31,1/1/1970,Bluff,NZ,-46.6,168.3333,66,57.02,1017,78,3.6
32,1/1/1970,Ust-Nera,RU,64.5667,143.2,50,-21.48,1018,97,3.96
33,1/1/1970,Butaritari,KI,3.0707,172.7902,100,82.02,1011,72,16.78
34,1/1/1970,Saint Paul Harbor,US,57.79,-152.4072,1,36.91,1004,48,13.8
35,1/1/1970,Tabas,IR,33.5959,56.9244,71,51.78,1018,9,4.85
36,1/1/1970,Kavaratti,IN,10.5669,72.642,4,81.66,1007,73,13.09
37,1/1/1970,Meulaboh,ID,4.1363,96.1285,100,74.52,1006,92,6.26
38,1/1/1970,Busselton,AU,-33.65,115.3333,8,45.09,1016,82,8.23
39,1/1/1970,Mayo,US,38.8876,-76.5119,90,54.86,1019,66,4
40,1/1/1970,Khatanga,RU,71.9667,102.5,100,13.96,996,95,11.12
41,1/1/1970,Puerto Ayora,EC,-0.7393,-90.3518,56,75.16,1012,78,10.38
42,1/1/1970,Tūkrah,LY,32.5341,20.5791,100,73.58,1017,50,4.52
43,1/1/1970,Bonthe,SL,7.5264,-12.505,90,79.93,1011,83,4.5
44,1/1/1970,Bogolyubovo,RU,56.1956,40.5297,100,43.23,1007,79,14.97
45,1/1/1970,Olafsvik,IS,64.8945,-23.7142,100,34.66,1009,78,14.5
46,1/1/1970,Severo-Kuril'sk,RU,50.6789,156.125,12,35.92,1019,77,6.96
47,1/1/1970,Anadyr,RU,64.75,177.4833,75,10.9,1013,85,4.47
48,1/1/1970,Kruisfontein,ZA,-34.0033,24.7314,100,59.88,1017,79,6.11
49,1/1/1970,Hithadhoo,MV,-0.6,73.0833,97,83.1,1008,71,18.39
50,1/1/1970,Punta Arenas,CL,-53.15,-70.9167,90,50.11,1005,87,10.36
51,1/1/1970,Dekar,BW,-21.5333,21.9333,97,82.42,1009,34,13.38
52,1/1/1970,Arraial do Cabo,BR,-22.9661,-42.0278,40,71.46,1013,68,9.22
53,1/1/1970,Grand Gaube,MU,-20.0064,57.6608,66,75.6,1015,79,3
